update,action_saturation,approx_kl,c_frac_env,clip_frac,entropy,explained_variance,grad_norm,l_env,policy_loss,returned_episode_returns,step_reward,total_loss,value_loss
478,0.0,0.012784449,0.16069347,0.15332657,-3.8040562,0.62675905,87.62878,0.0,0.005784251,172.5674,0.86720234,1.346668,2.681768
479,0.0,0.008774169,0.16204979,0.109336466,-3.8058312,0.6470436,65.09555,0.0,0.0034537832,173.4314,0.8581382,1.2871481,2.5673888
480,0.0,0.014661746,0.16135941,0.1464625,-3.8072226,0.6346046,78.88533,0.0,0.0070834486,171.62819,0.8586797,1.3363425,2.6585178
481,0.0,0.008394574,0.16161157,0.10508385,-3.809484,0.64346486,63.61915,0.0,0.003515177,171.7352,0.85792345,1.2992206,2.5914106
482,0.0,0.010490462,0.16189805,0.12956667,-3.812271,0.65147895,74.401825,0.0,0.0045546936,171.58293,0.8561503,1.3202105,2.6313114
483,0.0,0.01149193,0.16100226,0.13980521,-3.8154478,0.63311595,81.29208,0.0,0.005100141,171.23442,0.86050534,1.3362957,2.6623912
484,0.0,0.013064,0.16086258,0.15193282,-3.8181086,0.62979937,84.85724,0.0,0.006020328,172.1032,0.8626279,1.3576162,2.7031918
485,0.0,0.010633072,0.16040134,0.12874219,-3.8201957,0.6424236,76.02694,0.0,0.0047874786,172.52722,0.86425716,1.3334446,2.6573143
486,0.0,0.010208472,0.16117166,0.12348177,-3.8224554,0.640956,74.69899,0.0,0.004435394,172.84714,0.8599618,1.3424814,2.6760921
487,0.0,0.0066503854,0.16043018,0.08048959,-3.8251934,0.6214298,48.16436,0.0,0.0023158565,171.99701,0.86458707,1.3752923,2.745953
488,0.0,0.01182697,0.16185114,0.14270937,-3.827032,0.64670604,87.351395,0.0,0.0054927124,172.90945,0.85661876,1.3595703,2.708155
489,0.0,0.011119393,0.16107452,0.13285366,-3.8287742,0.643565,76.17357,0.0,0.0047934474,171.32889,0.86175936,1.3272328,2.6448786
490,0.0,0.008541003,0.1607704,0.109046355,-3.8307574,0.6414937,66.5128,0.0,0.0036122664,172.35246,0.8623505,1.3402414,2.6732585
491,0.0,0.013799983,0.16169967,0.16838178,-3.8332715,0.6543741,95.0674,0.0,0.006566671,172.46652,0.8587723,1.3435073,2.6738815
492,0.0,0.009394867,0.16110486,0.11641406,-3.8355045,0.64132553,72.01888,0.0,0.003773279,171.76033,0.8646338,1.3426193,2.677692
493,0.0,0.008649642,0.16158035,0.10925208,-3.8363519,0.6316533,70.68638,0.0,0.0034622594,172.92253,0.86041915,1.3650868,2.723249
494,0.0,0.0064099403,0.1622628,0.078767195,-3.8379176,0.63375604,53.626865,0.0,0.0023571495,172.08022,0.8567989,1.3375475,2.6703808
495,0.0,0.013410103,0.16289161,0.1527974,-3.8390737,0.6301763,88.40985,0.0,0.0061449837,171.3556,0.85260725,1.3553336,2.6983771
496,0.0,0.010679623,0.16203156,0.12899792,-3.841734,0.63652337,80.12595,0.0,0.004854587,170.5296,0.86074585,1.3179452,2.6261814
497,0.0,0.012063083,0.16262503,0.13521564,-3.8443384,0.627991,77.37779,0.0,0.0054566376,172.14093,0.8525229,1.3410928,2.6712723
498,0.0,0.006864815,0.16136956,0.08289948,-3.8465962,0.63058007,52.068672,0.0,0.0024755832,170.50974,0.85766315,1.3464231,2.6878953
499,0.0,0.008861354,0.16146536,0.108965114,-3.849003,0.63631845,66.798294,0.0,0.0037576945,171.53166,0.8567103,1.3221424,2.6367693
500,0.0,0.011098117,0.16195348,0.13263541,-3.8501554,0.6378304,78.80603,0.0,0.0051869764,171.34009,0.8547275,1.3345102,2.6586466
501,0.0,0.012143696,0.16165298,0.14899114,-3.852138,0.61958957,89.95301,0.0,0.0055560227,170.94843,0.8576738,1.3520205,2.6929293
502,0.0,0.007680242,0.15980388,0.099075526,-3.8544774,0.6083381,64.27193,0.0,0.0028062188,171.54095,0.8638627,1.3576024,2.7095923
503,0.0,0.010399541,0.16103102,0.13057084,-3.856514,0.6348689,80.694824,0.0,0.0046065273,172.76503,0.856369,1.3235409,2.637869
504,0.0,0.013373196,0.16127343,0.16406511,-3.8574963,0.6272644,97.92746,0.0,0.0062949457,171.27773,0.86028314,1.3587635,2.704937
505,0.0,0.008350193,0.16180043,0.106067196,-3.8592854,0.6411487,69.394905,0.0,0.0032899866,172.05316,0.856824,1.3260279,2.6454759
506,0.0,0.012199653,0.1622949,0.15264219,-3.8618674,0.6373633,94.99825,0.0,0.0058670063,171.36707,0.85912216,1.3462167,2.680699
507,0.0,0.010359207,0.16153459,0.12982032,-3.8641777,0.60743344,84.16441,0.0,0.004576686,171.83109,0.86576635,1.3774292,2.745705
508,0.0,0.010271797,0.16196734,0.12820156,-3.8671181,0.6341236,79.922485,0.0,0.004510711,173.14436,0.85685927,1.3221874,2.6353536
509,0.0,0.011685543,0.1624422,0.13901147,-3.8687944,0.6307277,87.070145,0.0,0.0051500206,171.3726,0.8576185,1.340399,2.6704984
510,0.0,0.007911628,0.16191778,0.09860209,-3.870472,0.6306325,64.57594,0.0,0.003011568,171.52245,0.85636955,1.3563135,2.706604
